marker,key,randoxCode,resultType,panels,healthAreas,duplicateGroup,templateFamily,reviewStatus,reviewedBy,chars,flags,whatItIs,highMeans,lowMeans,lifestyleContext
"Uric Acid","uric-acid","","MEASURED","Ran Chip Insight 360; Nutritional Health HSC15; Core; Insight 360; Signature","Kidney Health; Muscle & Joint Health","","","DRAFT","","189","","A waste product from the breakdown of purines in food and cells.","Can be linked to gout risk or metabolic factors.","","Reducing alcohol and purine-rich foods (e.g. red meat, shellfish) can help."
"Urobilinogen (urine)","urobilinogen-urine","","MEASURED","Insight 360; Signature","Urinalysis","","","DRAFT","","152","","A urine dipstick reading for urobilinogen, which is formed in the gut from bilirubin and partly reabsorbed. Small amounts are normally present in urine.","","",""
"Vancomycin Resistance","vancomycin-resistance","","QUALITATIVE","Signature","UTI","2","","DRAFT","","164","","A test for genetic markers that make enterococci resistant to vancomycin. It describes a property of bacteria in the sample rather than a measurement of the person.","","",""
"Vanilla (IgG)","vanilla-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Vanilla in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Vanilla.","","",""
"Vascular Cell Adhesion Molecule 1","vcam-1","","MEASURED","Insight 360; Signature","Infection & Inflammation","","","DRAFT","","197","","An adhesion molecule that appears on the inner lining of blood vessels and allows white blood cells to bind. It is a research marker of inflammation in the vessel wall, not a routine clinical test.","","",""
"Veal (IgG)","veal-igg","","SENSITIVITY","Signature","Food Sensitivity: Meat","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Veal in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Veal.","","",""
"Venison (IgG)","venison-igg","","SENSITIVITY","Signature","Food Sensitivity: Meat","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Venison in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Venison.","","",""
"Vitamin A Deficiency Risk","vitamin-a-deficiency-risk","","GENETIC","Signature","Diet & Nutrition","","","DRAFT","","190","","Relates to variants in BCMO1 and related genes, which affect how efficiently plant carotenes are converted into vitamin A. It describes an inherited tendency rather than measuring vitamin A.","","",""
"Vitamin B12","vitamin-b12","","MEASURED","Ran Chip Insight 360; Advanced GP3 (Male); Advanced GP3 (Female); Nutritional Health HSC15; Core; Insight 360; Signature","Nutritional Health","","","DRAFT","","209","","A vitamin essential for nerve function and red blood cell production.","","Can cause fatigue, and if prolonged, nerve symptoms.","Found mainly in animal products. Plant-based diets often benefit from supplementation."
"Vitamin B12 Deficiency Risk","vitamin-b12-deficiency-risk","","GENETIC","Signature","Diet & Nutrition","","","DRAFT","","192","TEMPLATED","Relates to inherited variation in genes involved in transporting and processing vitamin B12, such as FUT2 and TCN2. It describes a tendency rather than measuring the vitamin B12 in your blood.","","",""
"Vitamin C Deficiency Risk","vitamin-c-deficiency-risk","","GENETIC","Signature","Diet & Nutrition","","","DRAFT","","139","","Relates to variants in SLC23A1 and related vitamin C transporter genes. It describes an inherited tendency rather than measuring vitamin C.","","",""
"Vitamin D","vitamin-d","","MEASURED","Ran Chip Insight 360; Advanced GP3 (Male); Advanced GP3 (Female); Nutritional Health HSC15; HSC14 Fertility; Core; Insight 360; Signature","Nutritional Health; Bone Health","","","DRAFT","","281","","A vitamin essential for bone health and immune function, made mostly by sunlight on skin.","","Low levels are common, especially in winter, and can affect bone and immune health.","Sensible sun exposure and supplementation (especially Oct–Mar in the UK) support levels in the usual range."
"Vitamin D Deficiency Risk","vitamin-d-deficiency-risk","","GENETIC","Signature","Diet & Nutrition","","","DRAFT","","203","","Relates to variants in genes such as GC and CYP2R1 that affect how vitamin D is carried and activated. It describes a tendency rather than measuring the vitamin D in your blood, which is a separate test.","","",""
"Waist Circumference","waist-circumference","","MEASURED","Insight 360; Signature","Metabolic Syndrome; Personal Health Measurements","","","DRAFT","","163","","The distance around your waist, taken with a tape at your appointment. It is recorded as an indicator of where body fat is carried, which weight alone cannot show.","","",""
"Waist/Hip Ratio","waist-hip-ratio","","MEASURED","Insight 360; Signature","Personal Health Measurements","","","DRAFT","","129","","Waist circumference divided by hip circumference. It describes where body fat is distributed rather than how much of it there is.","","",""
"Walnut (IgG)","walnut-igg","","SENSITIVITY","Signature","Food Sensitivity: Nuts & Seeds","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Walnut in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Walnut.","","",""
"Watercress (IgG)","watercress-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","398","TEMPLATE-FAMILY","Measures IgG antibodies to Watercress in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Watercress.","","",""
"Watermelon (IgG)","watermelon-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","398","TEMPLATE-FAMILY","Measures IgG antibodies to Watermelon in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Watermelon.","","",""
"Weight","weight","","MEASURED","Insight 360; Signature","Metabolic Syndrome; Personal Health Measurements","","","DRAFT","","126","","Your body weight, measured at your appointment. It is recorded on its own and for use in calculations such as body mass index.","","",""
"Wheat (IgG)","wheat-igg","","SENSITIVITY","Signature","Food Sensitivity: Grains","","yes","DRAFT","","388","TEMPLATE-FAMILY","Measures IgG antibodies to Wheat in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Wheat.","","",""
"Wheat Bran (IgG)","wheat-bran-igg","","SENSITIVITY","Signature","Food Sensitivity: Grains","","yes","DRAFT","","398","TEMPLATE-FAMILY","Measures IgG antibodies to Wheat Bran in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Wheat Bran.","","",""
"White Blood Cell Count","wbc","","MEASURED","Signature; Ran Chip Insight 360; Advanced GP3 (Female); Advanced GP3 (Male); Core; Insight 360","Full Blood Count","","","DRAFT","","272","","Cells that make up your immune system and fight infection.","Can indicate infection, inflammation, or stress on the body.","Can indicate a weakened immune response or certain viral infections.","Levels vary with recent illness. A repeat test when well is often more informative."
"White Blood Cells (urine)","white-blood-cells-urine","","MEASURED","Insight 360; Signature","Urinalysis","","","DRAFT","","168","","A urine dipstick reading for leucocyte esterase, an enzyme released by white blood cells. It is read together with the nitrite square as a screen for urinary infection.","","",""
"Wild Boar (IgG)","wild-boar-igg","","SENSITIVITY","Signature","Food Sensitivity: Meat","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Wild Boar in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Wild Boar.","","",""
"Yeast (Baker's) (IgG)","yeast-baker-s-igg","","SENSITIVITY","Signature","Food Sensitivity: Misc","","yes","DRAFT","","408","TEMPLATE-FAMILY","Measures IgG antibodies to Yeast (Baker’s) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Yeast (Baker’s).","","",""
